#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 1000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 9, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r9_n64_v6_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r9_n64_v6_Results', 'verbose': True}
#
'totalSteps': 2048, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.3807200945913791, 0.0, 0.1814175092265941, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 229, 'stepsPerEpisode': 9, 'rewardPerEpisode': 2.1461951376161097
'totalSteps': 4096, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.2928112383931876, 0.0, 0.21111320008058101, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 427, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0
'totalSteps': 6144, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.2005541630089283, 0.0, 0.28512907507829366, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 579, 'stepsPerEpisode': 15, 'rewardPerEpisode': 1.5980438912869386
'totalSteps': 8192, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.115419628843665, 0.0, 0.3507695934735239, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 700, 'stepsPerEpisode': 2, 'rewardPerEpisode': 0.30425678974177195
'totalSteps': 10240, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.0309861978515982, 0.0, 0.4648558093234897, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 800, 'stepsPerEpisode': 12, 'rewardPerEpisode': 1.7919925389826707
'totalSteps': 12288, 'rewardStep': 0.32633438379229895, 'errorList': [], 'lossList': [0.0, -0.959370743855834, 0.0, 0.5968778229784221, 0.0, 0.0, 0.0], 'rewardMean': 0.05438906396538316, 'totalEpisodes': 879, 'stepsPerEpisode': 7, 'rewardPerEpisode': 1.991456262978723
'totalSteps': 14336, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.901616015844047, 0.0, 0.6205448081251234, 0.0, 0.0, 0.0], 'rewardMean': 0.04661919768461414, 'totalEpisodes': 935, 'stepsPerEpisode': 35, 'rewardPerEpisode': 6.770680944152419
'totalSteps': 16384, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.8536245811730623, 0.0, 0.6586289490573108, 0.0, 0.0, 0.0], 'rewardMean': 0.04079179797403737, 'totalEpisodes': 985, 'stepsPerEpisode': 27, 'rewardPerEpisode': 5.148926263756138
'totalSteps': 18432, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.8160984110087156, 0.0, 0.6098425162024796, 0.0, 0.0, 0.0], 'rewardMean': 0.03625937597692211, 'totalEpisodes': 1029, 'stepsPerEpisode': 73, 'rewardPerEpisode': 6.6901190487668325
'totalSteps': 20480, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.7812522934749723, 0.0, 0.6000546544790268, 0.0, 0.0, 0.0], 'rewardMean': 0.0326334383792299, 'totalEpisodes': 1072, 'stepsPerEpisode': 14, 'rewardPerEpisode': 1.7516962974327446
'totalSteps': 22528, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.7537629393860698, 0.0, 0.7159638965502382, 0.0, 0.0, 0.0], 'rewardMean': 0.0326334383792299, 'totalEpisodes': 1111, 'stepsPerEpisode': 10, 'rewardPerEpisode': 1.5788247153117607
'totalSteps': 24576, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.7153418214991689, 0.0, 0.6714617874473333, 0.0, 0.0, 0.0], 'rewardMean': 0.0326334383792299, 'totalEpisodes': 1149, 'stepsPerEpisode': 25, 'rewardPerEpisode': 4.452700736009792
'totalSteps': 26624, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.662544641084969, 0.0, 0.5801635997835547, 0.0, 0.0, 0.0], 'rewardMean': 0.0326334383792299, 'totalEpisodes': 1187, 'stepsPerEpisode': 37, 'rewardPerEpisode': 2.1045720806913195
'totalSteps': 28672, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.6211143517866731, 0.0, 0.5830454471055418, 0.0, 0.0, 0.0], 'rewardMean': 0.0326334383792299, 'totalEpisodes': 1220, 'stepsPerEpisode': 34, 'rewardPerEpisode': 7.562000292903789
'totalSteps': 30720, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.569232894666493, 0.0, 0.7075216545723378, 0.0, 0.0, 0.0], 'rewardMean': 0.0326334383792299, 'totalEpisodes': 1253, 'stepsPerEpisode': 46, 'rewardPerEpisode': 10.015288152638966
'totalSteps': 32768, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.5254089504480361, 0.0, 0.7705682773143053, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 1286, 'stepsPerEpisode': 38, 'rewardPerEpisode': 6.069077047444752
'totalSteps': 34816, 'rewardStep': 0.45960493450460616, 'errorList': [], 'lossList': [0.0, -0.4834708607755601, 0.0, 0.7944176929071546, 0.0, 0.0, 0.0], 'rewardMean': 0.04596049345046062, 'totalEpisodes': 1317, 'stepsPerEpisode': 52, 'rewardPerEpisode': 12.047690053841645
'totalSteps': 36864, 'rewardStep': 0.07462785739694433, 'errorList': [], 'lossList': [0.0, -0.4468862789683044, 0.0, 0.5940506950952112, 0.0, 0.0, 0.0], 'rewardMean': 0.05342327919015505, 'totalEpisodes': 1350, 'stepsPerEpisode': 64, 'rewardPerEpisode': 15.468087934149459
'totalSteps': 38912, 'rewardStep': 0.6890316889844503, 'errorList': [], 'lossList': [0.0, -0.3943356909789145, 0.0, 0.6619601355865598, 0.0, 0.0, 0.0], 'rewardMean': 0.12232644808860008, 'totalEpisodes': 1384, 'stepsPerEpisode': 40, 'rewardPerEpisode': 12.511163605479338
'totalSteps': 40960, 'rewardStep': 0.006060814972288386, 'errorList': [], 'lossList': [0.0, -0.3345923747867346, 0.0, 0.5253083816729486, 0.0, 0.0, 0.0], 'rewardMean': 0.12293252958582893, 'totalEpisodes': 1416, 'stepsPerEpisode': 31, 'rewardPerEpisode': 8.54431544445451
'totalSteps': 43008, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.2740878500044346, 0.0, 0.6821451829746366, 0.0, 0.0, 0.0], 'rewardMean': 0.12293252958582893, 'totalEpisodes': 1448, 'stepsPerEpisode': 24, 'rewardPerEpisode': 7.95707238805087
'totalSteps': 45056, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.21540560089051725, 0.0, 0.8256450354121625, 0.0, 0.0, 0.0], 'rewardMean': 0.12293252958582893, 'totalEpisodes': 1475, 'stepsPerEpisode': 78, 'rewardPerEpisode': 20.034056636709852
