#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 1000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 9, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r9_n64_v4_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r9_n64_v4_Results', 'verbose': True}
#
'totalSteps': 2048, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.3896512307226658, 0.0, 0.10612593730329536, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 229, 'stepsPerEpisode': 9, 'rewardPerEpisode': 1.9144972568980143
'totalSteps': 4096, 'rewardStep': 0.8743913590861919, 'errorList': [], 'lossList': [0.0, -1.3119254909455775, 0.0, 0.12982023697113618, 0.0, 0.0, 0.0], 'rewardMean': 0.43719567954309596, 'totalEpisodes': 445, 'stepsPerEpisode': 2, 'rewardPerEpisode': 0.8743913590861919
'totalSteps': 6144, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.2327679961919784, 0.0, 0.17465089618926868, 0.0, 0.0, 0.0], 'rewardMean': 0.291463786362064, 'totalEpisodes': 606, 'stepsPerEpisode': 5, 'rewardPerEpisode': 0.9010582633116824
'totalSteps': 8192, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.1413202580064534, 0.0, 0.24099169510882348, 0.0, 0.0, 0.0], 'rewardMean': 0.21859783977154798, 'totalEpisodes': 737, 'stepsPerEpisode': 14, 'rewardPerEpisode': 0.3699409570630513
'totalSteps': 10240, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.0446992244571447, 0.0, 0.21586912898346783, 0.0, 0.0, 0.0], 'rewardMean': 0.1748782718172384, 'totalEpisodes': 851, 'stepsPerEpisode': 5, 'rewardPerEpisode': 1.1324535953719002
'totalSteps': 12288, 'rewardStep': 0.5676512086596612, 'errorList': [], 'lossList': [0.0, -0.9642472954466939, 0.0, 0.26931092799641193, 0.0, 0.0, 0.0], 'rewardMean': 0.2403404279576422, 'totalEpisodes': 939, 'stepsPerEpisode': 8, 'rewardPerEpisode': 1.9345421991144223
'totalSteps': 14336, 'rewardStep': 0.6245210250434803, 'errorList': [], 'lossList': [0.0, -0.901307326555252, 0.0, 0.39335606009699403, 0.0, 0.0, 0.0], 'rewardMean': 0.29522337039847624, 'totalEpisodes': 1008, 'stepsPerEpisode': 7, 'rewardPerEpisode': 0.6345371835674141
'totalSteps': 16384, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.8502887381240726, 0.0, 0.4349257207941264, 0.0, 0.0, 0.0], 'rewardMean': 0.2583204490986667, 'totalEpisodes': 1060, 'stepsPerEpisode': 20, 'rewardPerEpisode': 3.4332566735596566
'totalSteps': 18432, 'rewardStep': 0.23599939513483492, 'errorList': [], 'lossList': [0.0, -0.8109836177900434, 0.0, 0.6373848930001259, 0.0, 0.0, 0.0], 'rewardMean': 0.25584033199157424, 'totalEpisodes': 1105, 'stepsPerEpisode': 3, 'rewardPerEpisode': 0.7365947459191726
'totalSteps': 20480, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.7787964235991239, 0.0, 0.41611280464567246, 0.0, 0.0, 0.0], 'rewardMean': 0.23025629879241682, 'totalEpisodes': 1148, 'stepsPerEpisode': 18, 'rewardPerEpisode': 1.4758198295915088
'totalSteps': 22528, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.7384625257924199, 0.0, 0.4746350811328739, 0.0, 0.0, 0.0], 'rewardMean': 0.23025629879241682, 'totalEpisodes': 1188, 'stepsPerEpisode': 68, 'rewardPerEpisode': 3.6790418912800087
