#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 1, 'evaluationSteps': 5000, 'episodeSteps': 1000, 'episodeStepsMax': 1250, 'totalLearningSteps': 200000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'plots/PendulumA2C_r2_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': True, 'nThreadsTraining': 1, 'resultsFile': 'plots/PendulumA2C_r2_Results', 'verbose': True}
#
'totalSteps': 1052, 'rewardStep': 0.3284893832194681, 'errorList': [], 'lossList': [2.4100680351257324, -1.384339451789856, 1.716068983078003, 1.387998104095459], 'rewardMean': 0.3284893832194681, 'totalEpisodes': 47, 'stepsPerEpisode': 90, 'rewardPerEpisode': 68.05379626465883
'totalSteps': 2094, 'rewardStep': 0.439170713402066, 'errorList': [], 'lossList': [1.5228357911109924, -1.3855229616165161, 1.0814197063446045, 0.8828321695327759], 'rewardMean': 0.383830048310767, 'totalEpisodes': 66, 'stepsPerEpisode': 92, 'rewardPerEpisode': 77.81476316298328
'totalSteps': 3271, 'rewardStep': 0.18668403630648173, 'errorList': [], 'lossList': [0.13301353342831135, -1.3623744249343872, -0.14302225410938263, 0.020017441362142563], 'rewardMean': 0.31811471097600524, 'totalEpisodes': 78, 'stepsPerEpisode': 241, 'rewardPerEpisode': 140.9399512934937
'totalSteps': 4318, 'rewardStep': 0.2944878657207518, 'errorList': [], 'lossList': [0.06222292757593095, -1.353602647781372, -0.06407955288887024, 0.0037132506258785725], 'rewardMean': 0.3122079996621919, 'totalEpisodes': 91, 'stepsPerEpisode': 57, 'rewardPerEpisode': 31.540118841017744
'totalSteps': 5568, 'rewardStep': 0.6853263098703005, 'errorList': [], 'lossList': [0.8904824256896973, -1.3564941883087158, 0.7181366682052612, 0.34469151496887207], 'rewardMean': 0.3536655896853151, 'totalEpisodes': 96, 'stepsPerEpisode': 733, 'rewardPerEpisode': 495.3720346233319
'totalSteps': 6596, 'rewardStep': 0.4691103289007089, 'errorList': [], 'lossList': [0.3194822818040848, -1.3460782766342163, -0.4097279906272888, 0.18049141764640808], 'rewardMean': 0.37927215817497856, 'totalEpisodes': 101, 'stepsPerEpisode': 524, 'rewardPerEpisode': 406.0460494150081
'totalSteps': 7846, 'rewardStep': 0.6950165243877581, 'errorList': [], 'lossList': [0.3119705133140087, -1.3331876993179321, 0.30054473876953125, 0.022851549088954926], 'rewardMean': 0.4159248722918075, 'totalEpisodes': 102, 'stepsPerEpisode': 1091, 'rewardPerEpisode': 793.1503392332214
'totalSteps': 9015, 'rewardStep': 0.19234750335898032, 'errorList': [], 'lossList': [0.38179516792297363, -1.3281049728393555, -1.081095576286316, 1.3986008167266846], 'rewardMean': 0.3665602302831904, 'totalEpisodes': 104, 'stepsPerEpisode': 513, 'rewardPerEpisode': 370.4730311558736
'totalSteps': 10126, 'rewardStep': 0.46314331708237744, 'errorList': [], 'lossList': [0.8359578251838684, -1.3371837139129639, -1.1876150369644165, 0.7033144235610962], 'rewardMean': 0.4218520864383695, 'totalEpisodes': 107, 'stepsPerEpisode': 488, 'rewardPerEpisode': 282.4670306316003
'totalSteps': 11221, 'rewardStep': 0.432156263004, 'errorList': [], 'lossList': [0.7315992712974548, -1.335453987121582, -1.302872896194458, 1.1425472497940063], 'rewardMean': 0.44938576589501916, 'totalEpisodes': 113, 'stepsPerEpisode': 159, 'rewardPerEpisode': 106.66493988926138
'totalSteps': 12352, 'rewardStep': 0.45077987246940643, 'errorList': [], 'lossList': [0.5687410235404968, -1.3320462703704834, -0.7804630398750305, 0.4234440326690674], 'rewardMean': 0.42409807651179954, 'totalEpisodes': 119, 'stepsPerEpisode': 211, 'rewardPerEpisode': 153.0633740737547
